file,hhID,fileName,fullPath,fSize,fMTime,fMDate,dateColName,dateExample,dateFormat
rf_06/19Aug2017-20Aug2017at1.csv,rf_06,19Aug2017-20Aug2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/19Aug2017-20Aug2017at1.csv,2751,2017-08-20T16:03:03Z,2017-08-20,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/19Dec2017-20Dec2017at1.csv,rf_06,19Dec2017-20Dec2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/19Dec2017-20Dec2017at1.csv,155040,2017-12-20T15:03:04Z,2017-12-20,date UTC,2017-12-18,ymd - definite
rf_06/19Feb2017-20Feb2017at1.csv,rf_06,19Feb2017-20Feb2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/19Feb2017-20Feb2017at1.csv,2751,2017-02-20T15:03:04Z,2017-02-20,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/19Feb2018-20Feb2018at1.csv,rf_06,19Feb2018-20Feb2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/19Feb2018-20Feb2018at1.csv,154104,2018-02-20T15:03:06Z,2018-02-20,date UTC,2018-02-18,ymd - definite
rf_06/19Jan2017-20Jan2017at1.csv,rf_06,19Jan2017-20Jan2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/19Jan2017-20Jan2017at1.csv,2751,2017-01-20T15:03:03Z,2017-01-20,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/19Jan2018-20Jan2018at1.csv,rf_06,19Jan2018-20Jan2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/19Jan2018-20Jan2018at1.csv,155390,2018-01-20T15:03:04Z,2018-01-20,date UTC,2018-01-18,ymd - definite
rf_06/19Jul2017-20Jul2017at1.csv,rf_06,19Jul2017-20Jul2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/19Jul2017-20Jul2017at1.csv,2751,2017-07-20T16:03:04Z,2017-07-20,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/19Jun2017-20Jun2017at1.csv,rf_06,19Jun2017-20Jun2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/19Jun2017-20Jun2017at1.csv,2751,2017-06-20T16:03:03Z,2017-06-20,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/19Jun2018-20Jun2018at1.csv,rf_06,19Jun2018-20Jun2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/19Jun2018-20Jun2018at1.csv,157068,2018-06-20T16:03:06Z,2018-06-20,date UTC,2018-06-18,ymd - definite
rf_06/19Mar2017-20Mar2017at1.csv,rf_06,19Mar2017-20Mar2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/19Mar2017-20Mar2017at1.csv,2751,2017-03-20T15:03:04Z,2017-03-20,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/19Mar2018-20Mar2018at1.csv,rf_06,19Mar2018-20Mar2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/19Mar2018-20Mar2018at1.csv,154893,2018-03-20T15:03:04Z,2018-03-20,date UTC,2018-03-18,ymd - definite
rf_06/19May2017-20May2017at1.csv,rf_06,19May2017-20May2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/19May2017-20May2017at1.csv,2751,2017-05-20T16:03:03Z,2017-05-20,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/19May2018-20May2018at1.csv,rf_06,19May2018-20May2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/19May2018-20May2018at1.csv,153062,2018-05-20T16:03:04Z,2018-05-20,date UTC,2018-05-18,ymd - definite
rf_06/19Nov2017-20Nov2017at1.csv,rf_06,19Nov2017-20Nov2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/19Nov2017-20Nov2017at1.csv,155701,2017-11-20T15:03:04Z,2017-11-20,date UTC,2017-11-18,ymd - definite
rf_06/19Oct2017-20Oct2017at1.csv,rf_06,19Oct2017-20Oct2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/19Oct2017-20Oct2017at1.csv,2751,2017-10-20T15:03:04Z,2017-10-20,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/19Sep2017-20Sep2017at1.csv,rf_06,19Sep2017-20Sep2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/19Sep2017-20Sep2017at1.csv,2751,2017-09-20T16:03:03Z,2017-09-20,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/1Apr2017-2Apr2017at1.csv,rf_06,1Apr2017-2Apr2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/1Apr2017-2Apr2017at1.csv,2751,2017-04-02T16:03:04Z,2017-04-02,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/1Apr2018-2Apr2018at1.csv,rf_06,1Apr2018-2Apr2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/1Apr2018-2Apr2018at1.csv,156595,2018-04-02T16:03:04Z,2018-04-02,date UTC,2018-03-31,ymd - definite
rf_06/1Aug2017-2Aug2017at1.csv,rf_06,1Aug2017-2Aug2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/1Aug2017-2Aug2017at1.csv,2751,2017-08-02T16:03:03Z,2017-08-02,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/1Dec2017-2Dec2017at1.csv,rf_06,1Dec2017-2Dec2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/1Dec2017-2Dec2017at1.csv,154810,2017-12-02T15:03:03Z,2017-12-02,date UTC,2017-11-30,ymd - definite
rf_06/1Feb2017-2Feb2017at1.csv,rf_06,1Feb2017-2Feb2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/1Feb2017-2Feb2017at1.csv,2751,2017-02-02T15:03:05Z,2017-02-02,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/1Feb2018-2Feb2018at1.csv,rf_06,1Feb2018-2Feb2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/1Feb2018-2Feb2018at1.csv,154426,2018-02-02T15:03:05Z,2018-02-02,date UTC,2018-01-31,ymd - definite
rf_06/1Jan2018-2Jan2018at1.csv,rf_06,1Jan2018-2Jan2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/1Jan2018-2Jan2018at1.csv,154620,2018-01-02T15:03:04Z,2018-01-02,date UTC,2017-12-31,ymd - definite
rf_06/1Jul2017-2Jul2017at1.csv,rf_06,1Jul2017-2Jul2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/1Jul2017-2Jul2017at1.csv,2751,2017-07-02T16:03:04Z,2017-07-02,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/1Jul2018-2Jul2018at1.csv,rf_06,1Jul2018-2Jul2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/1Jul2018-2Jul2018at1.csv,158015,2018-07-02T16:03:04Z,2018-07-02,date UTC,2018-06-30,ymd - definite
rf_06/1Jun2017-2Jun2017at1.csv,rf_06,1Jun2017-2Jun2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/1Jun2017-2Jun2017at1.csv,2751,2017-06-02T16:03:03Z,2017-06-02,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
